#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
476,J1125-5825,291.893,2.602,0.003102,6.09E-20,322.350433,124.79,DD,76.4032,33.6384,He,2.98,2.98,807000000,80500000000000000000000000000000000,10.284
497,J1141-6545,295.791,-3.863,0.393899,4.31E-15,2.538723,116.08,DD,0.1977,1.8589,CO,3,3.2,1450000,2780000000000000000000000000000000,*
561,J1244-6359,302.204,-1.134,0.147274,4.4E-18,6.79005,286,DD,17.1707,24.0329,CO,12.05,12.05,530000000,54400000000000000000000000000000,*
650,J1342+2822D,42.215,78.712,0.005443,*,183.72305,26.36,DD,128.752,38.524,He,9.9,1.8,*,*,*
784,J1518+4904,80.808,54.282,0.040935,2.72E-20,24.428979,11.61,DD,8.634,20.044,NS,0.7,0.7,23900000000,15600000000000000000000000000000,8.556
802,J1528-3146,337.939,20.217,0.060822,2.49E-19,16.441357,18.16,DD,3.1803,11.4523,CO,0.99,0.99,3870000000,43700000000000000000000000000000,*
805,J1529-3828,333.886,14.728,0.008486,2.7E-20,117.837233,73.62,DD,119.6748,29.3405,He,4.85,4.85,4980000000,1740000000000000000000000000000000,*
827,B1534+12,19.848,48.341,0.037904,2.42E-18,26.382133,11.62,DD,0.4207,3.7295,NS,1.05,0.68,248000000,1760000000000000000000000000000000,25.328
891,J1600-3053,344.09,16.451,0.003598,9.5E-21,277.937707,52.32,DD,14.3485,8.8017,He,1.8,2.67,6000000000,8050000000000000000000000000000000,7.288
1042,J1640+2224,41.051,38.271,0.003163,2.83E-21,316.123984,18.43,DD,175.4607,55.3297,He,1.45,1.19,17700000000,3530000000000000000000000000000000,11.521
1053,J1643-1224,5.669,21.218,0.004622,1.85E-20,216.373337,62.41,DD,147.0173,25.0726,He,0.74,4.86,3970000000,7380000000000000000000000000000000,7.128
1167,J1708-3506,350.47,3.124,0.004505,1.14E-20,221.967751,146.73,DD,149.1332,33.5842,He,3.5,3.5,6250000000,4930000000000000000000000000000000,5.665
1193,J1713+0747,28.751,25.223,0.00457,8.53E-21,218.811844,15.97,DD,67.8251,32.3424,He,1.18,0.89,8490000000,3530000000000000000000000000000000,6.285
1460,J1755-25,3.756,-0.338,0.315196,*,3.172629,751,DD,9.6963,12.2838,*,11.04,11.04,*,*,*1460,J1755-25,3.756,-0.338,0.315196,*,3.172629,751,DD,9.6963,12.2838,*,11.04,11.04,*,*,*
1470,J1756-2251,6.499,0.948,0.028462,1.02E-18,35.135073,121.2,DD,0.3196,2.7565,NS,0.73,2.92,443000000,1740000000000000000000000000000000,2.42
1553,J1807-2459B,5.836,-2.206,0.004186,8.23E-20,238.881431,137.15,DD,9.9567,28.9204,CO(?),2.79,3.31,806000000,44300000000000000000000000000000000,*
2040,J1903+0327,37.336,-1.014,0.00215,1.88E-20,465.135238,297.52,DD,95.1741,105.5935,MS,6.45,6.45,1810000000,74800000000000000000000000000000000,5.602
2070,J1906+0746,41.598,0.147,0.144073,2.03E-14,6.940918,217.75,DD,0.166,1.42,NS(?),7.4,4.53,113000,268000000000000000000000000000000000,*
2115,J1910-5959A,336.525,-25.73,0.003266,2.95E-21,306.167446,33.7,DD,0.8371,1.206,He,4.55,2.22,17600000000,3340000000000000000000000000000000,5.025
2313,J1949+3106,66.858,2.554,0.013138,9.39E-20,76.114024,164.13,DD,1.9495,7.2886,CO,7.78,7.78,2220000000,1630000000000000000000000000000000,5.947
2437,B2127+11C,65.03,-27.315,0.030529,4.99E-18,32.755423,67.13,DD,0.3353,2.5185,NS,12.9,3.84,97000000,6920000000000000000000000000000000,3.547
2479,J2222-0137,62.018,-46.075,0.032818,5.86E-20,30.471214,3.28,DD,2.4458,10.848,CO,0.27,0.17,8870000000,65500000000000000000000000000000,45.089
140,J0453+1559,184.125,-17.137,0.045782,1.86E-18,21.842733,30.31,DDH,4.0725,14.4668,NS,1.83,1.83,390000000,766000000000000000000000000000000,8.139
255,J0737-3039A,245.236,-4.505,0.022699,1.76E-18,44.054069,48.92,DDS,0.1023,1.415,NS,1.1,0.57,204000000,5940000000000000000000000000000000,4.374
7,B0021-72E,305.883,-44.883,0.003536,9.85E-20,282.779107,24.23,ELL1,2.2568,1.9818,*,4,2.49,569000000,87900000000000000000000000000000000,6.7627,B0021-72E,305.883,-44.883,0.003536,9.85E-20,282.779107,24.23,ELL1,2.2568,1.9818,*,4,2.49,569000000,87900000000000000000000000000000000,6.762
11,B0021-72I,305.892,-44.893,0.003485,-4.59E-20,286.9447,24.42,ELL1,0.2298,0.0384,UL,4,2.49,*,*,6.263
12,B0021-72J,305.909,-44.903,0.002101,-9.79E-21,476.046858,24.58,ELL1,0.1207,0.0404,UL,4,2.49,*,*,6.35
16,J0024-7204O,305.897,-44.889,0.002643,3.04E-20,378.308788,24.36,ELL1,0.136,0.0452,UL,4,2.49,1380000000,64900000000000000000000000000000000,5.438
18,J0024-7204Q,305.877,-44.899,0.004033,3.4E-20,247.943237,24.29,ELL1,1.1891,1.4622,*,4,2.49,1880000000,20500000000000000000000000000000000,*18,J0024-7204Q,305.877,-44.899,0.004033,3.4E-20,247.943237,24.29,ELL1,1.1891,1.4622,*,4,2.49,1880000000,20500000000000000000000000000000000,*
20,J0024-7204S,305.898,-44.892,0.00283,-1.21E-19,353.306209,24.35,ELL1,1.2017,0.7663,*,4,2.49,*,*,*20,J0024-7204S,305.898,-44.892,0.00283,-1.21E-19,353.306209,24.35,ELL1,1.2017,0.7663,*,4,2.49,*,*,*
21,J0024-7204T,305.89,-44.894,0.007588,2.94E-19,131.778699,24.39,ELL1,1.1262,1.3385,*,4,2.49,409000000,26500000000000000000000000000000000,*21,J0024-7204T,305.89,-44.894,0.007588,2.94E-19,131.778699,24.39,ELL1,1.1262,1.3385,*,4,2.49,409000000,26500000000000000000000000000000000,*
22,J0024-7204U,305.89,-44.905,0.004343,9.52E-20,230.264772,24.34,ELL1,0.4291,0.527,He,4,2.49,723000000,45900000000000000000000000000000000,6.801
32,J0034-0534,111.492,-68.069,0.001877,4.97E-21,532.71343,13.77,ELL1,1.5893,1.4378,He,0.98,0.98,5990000000,29600000000000000000000000000000000,31.484
86,J0218+4232,139.508,-17.527,0.002323,7.74E-20,430.461066,61.25,ELL1,2.0288,1.9844,He,3.15,5.85,476000000,244000000000000000000000000000000000,6.528
104,J0337+1715,169.99,-30.039,0.002733,1.77E-20,365.953363,21.32,ELL1,1.6294,1.2175,HeT,1.3,1.4,2450000000,34200000000000000000000000000000000,*
110,J0348+0432,183.337,-36.774,0.039123,2.41E-19,25.560636,40.46,ELL1,0.1024,0.141,He,2.1,2.94,2570000000,159000000000000000000000000000000,5.345
193,J0557+1550,192.684,-4.309,0.002556,7.35E-21,391.180128,102.57,ELL1,4.8466,4.0545,He,5.65,5.65,5510000000,17400000000000000000000000000000000,*
203,J0613-0200,210.413,-9.305,0.003062,9.59E-21,326.600562,38.78,ELL1,1.1985,1.0914,He,1.09,2.19,5060000000,13200000000000000000000000000000000,10.517
228,J0636+5129,163.909,18.643,0.002869,3.38E-21,348.559232,11.11,ELL1,0.0666,0.009,UL,0.2,0.61,13400000000,5650000000000000000000000000000000,4.742
267,J0751+1807,202.73,21.086,0.003479,7.79E-21,287.457859,30.25,ELL1,0.2631,0.3966,He,0.4,2.02,7080000000,7300000000000000000000000000000000,6.01
378,J1012+5307,160.347,50.858,0.005256,1.71E-20,190.267838,9.02,ELL1,0.6047,0.5818,He,0.7,0.52,4860000000,4660000000000000000000000000000000,25.738
396,J1023+0038,243.49,45.782,0.001688,1.2E-20,592.421468,14.32,ELL1,0.1981,0.3433,MS,1.37,0.9,2230000000,98500000000000000000000000000000000,17.981
414,J1045-4509,280.851,12.254,0.007474,1.77E-20,133.79315,58.14,ELL1,4.0835,3.0151,He,0.34,3.24,6700000000,1670000000000000000000000000000000,7.993
434,J1056-7117,293.933,-10.458,0.02631,6.3E-20,38.008828,93.04,ELL1,9.1388,4.1486,He,5.27,5.27,6620000000,137000000000000000000000000000000,*
441,J1101-6424,291.417,-4.023,0.005109,1.8E-21,195.722565,207,ELL1,9.6117,14.0247,CO,7.86,7.86,45000000000,533000000000000000000000000000000,*
477,J1125-6014,292.504,0.894,0.00263,4.01E-21,380.1731,52.95,ELL1,8.7526,8.3392,He,1.94,1.94,10400000000,8690000000000000000000000000000000,*
515,J1157-5112,294.325,10.746,0.043589,1.43E-19,22.941448,39.67,ELL1,3.5074,14.2863,CO,1.88,1.88,4830000000,68200000000000000000000000000000,*
531,J1216-6410,299.096,-1.561,0.003539,1.62E-21,282.535706,47.4,ELL1,4.0367,2.9371,He,1.71,1.71,34700000000,1440000000000000000000000000000000,*
540,J1227-4853,298.965,13.796,0.001686,1.11E-20,592.987774,43.42,ELL1,0.2879,0.6685,MS,2,2.05,2410000000,91300000000000000000000000000000000,*
547,J1232-6501,300.911,-2.221,0.088282,8.11E-19,11.327349,239.4,ELL1,1.8633,1.614,He,10,10,1730000000,46500000000000000000000000000000,*
600,J1311-3430,307.681,28.176,0.00256,2.1E-20,390.568393,37.84,ELL1,0.0651,0.0106,UL,3.72,3.72,1940000000,49300000000000000000000000000000000,*
626,J1327-0755,318.383,53.848,0.002678,1.77E-20,373.423704,27.91,ELL1,8.4391,6.6458,He,2.17,2.17,2390000000,36400000000000000000000000000000000,98.762
640,J1337-6423,307.889,-1.958,0.009423,2.47E-20,106.118735,259.2,ELL1,4.7853,13.0865,CO,6.3,6.3,6050000000,1160000000000000000000000000000000,9.22
648,J1342+2822B,42.22,78.709,0.002389,1.86E-20,418.511473,26.15,ELL1,1.4174,1.8757,He,9.9,1.8,2040000000,53800000000000000000000000000000000,*
677,J1405-4656,315.826,14.079,0.007602,2.79E-20,131.54081,13.88,ELL1,8.9564,6.5677,He,0.74,0.74,4320000000,2510000000000000000000000000000000,48.332
717,J1431-4715,320.051,12.253,0.002012,1.41E-20,497.029394,59.35,ELL1,0.4497,0.5501,He,2.42,2.42,2260000000,68400000000000000000000000000000000,10.63
725,J1435-6100,315.186,-0.641,0.009348,2.45E-20,106.975072,113.7,ELL1,1.3549,6.184,CO,3.25,3.25,6050000000,1180000000000000000000000000000000,*
728,J1439-5501,318.097,4.63,0.028635,1.42E-19,34.922434,14.56,ELL1,2.1179,9.8334,CO,0.76,0.76,3200000000,238000000000000000000000000000000,*
735,J1446-4701,322.5,11.425,0.002195,9.81E-21,455.644016,55.83,ELL1,0.2777,0.064,UL,2.03,2.03,3540000000,36600000000000000000000000000000000,4.472
742,J1455-3330,330.722,22.562,0.007987,2.43E-20,125.200245,13.57,ELL1,76.1746,32.3622,He,0.74,0.74,5210000000,1880000000000000000000000000000000,8.149
755,J1502-6752,314.799,-8.067,0.026744,3.15E-19,37.390972,151.2,ELL1,2.4845,0.3175,UL,11.57,11.57,1350000000,649000000000000000000000000000000,15.232
773,J1514-4946,325.249,6.807,0.003589,1.86E-20,278.603009,31.05,ELL1,1.9227,1.9333,He,1.27,1.27,3050000000,15900000000000000000000000000000000,30.001
780,J1518+0204C,3.856,46.797,0.002484,2.61E-20,402.588228,29.31,ELL1,0.0868,0.0573,He(?),8,2.42,1510000000,67200000000000000000000000000000000,9.471
797,J1525-5545,323.439,0.851,0.01136,1.31E-19,88.029085,126.93,ELL1,0.9903,4.7105,CO,3.53,3.53,1370000000,3540000000000000000000000000000000,*
852,J1543-5149,327.921,2.479,0.002057,1.62E-20,486.154232,50.93,ELL1,8.0608,6.4803,He,1.46,1.46,2020000000,73300000000000000000000000000000000,5.873
854,J1544+4937,79.172,50.166,0.002159,2.93E-21,463.115536,23.23,ELL1,0.1208,0.0329,UL,2.3,2.3,11700000000,11500000000000000000000000000000000,*
904,J1603-7202,316.63,-14.496,0.014842,1.56E-20,67.376581,38.05,ELL1,6.3086,6.8807,CO(?),0.53,1.64,15000000000,189000000000000000000000000000000,7.732
937,J1614-2230,352.636,20.192,0.003151,9.62E-21,317.378942,34.49,ELL1,8.6866,11.2912,CO,0.7,1.77,5190000000,12100000000000000000000000000000000,32.411
953,J1618-39,340.775,7.887,0.011987,*,83.421531,117.5,ELL1,22.8,10.24,He,4.76,4.76,*,*,*
967,J1622-6617,321.978,-11.56,0.023623,5.88E-20,42.330829,88.02,ELL1,1.6406,0.9794,He(?),4.66,4.66,6360000000,176000000000000000000000000000000,6.708
1099,J1653-2054,359.969,14.261,0.004129,1.12E-20,242.180871,56.56,ELL1,1.2268,0.6889,He(?),2.64,2.64,5860000000,6260000000000000000000000000000000,*
1188,J1711-4322,344.145,-2.244,0.102618,2.67E-17,9.744852,191.5,ELL1,922.4708,139.6241,He,4.17,4.17,61000000,974000000000000000000000000000000,*
1221,J1719-1438,8.858,12.838,0.00579,8.04E-21,172.707045,36.86,ELL1,0.0907,0.0018,UL,1.64,1.64,11400000000,1640000000000000000000000000000000,11.163
1232,B1718-19,4.857,9.738,1.004037,1.62E-15,0.995979,75.7,ELL1,0.2583,0.3533,*,8.6,2.91,9800000,63300000000000000000000000000000,*1232,B1718-19,4.857,9.738,1.004037,1.62E-15,0.995979,75.7,ELL1,0.2583,0.3533,*,8.6,2.91,9800000,63300000000000000000000000000000,*
1240,J1723-2837,357.616,4.26,0.001856,7.54E-21,538.870683,19.69,ELL1,0.6154,1.2258,MS,1,1,3900000000,46600000000000000000000000000000000,*
1282,J1732-5049,340.029,-9.454,0.005313,1.42E-20,188.233512,56.84,ELL1,5.263,3.9829,He,1.81,1.81,5930000000,3740000000000000000000000000000000,9.879
1308,J1738+0333,27.721,17.742,0.00585,2.41E-20,170.93737,33.77,ELL1,0.3548,0.3434,He,1.47,1.97,3840000000,4760000000000000000000000000000000,8.675
1332,J1741+1351,37.885,21.641,0.003747,3.02E-20,266.869167,24.2,ELL1,16.3353,11.0033,He,1.08,1.41,1960000000,22700000000000000000000000000000000,11.756
1355,J1744-3922,350.908,-5.155,0.172444,1.55E-18,5.798972,148.1,ELL1,0.1914,0.2123,UL,4.6,4.6,1760000000,11900000000000000000000000000000,*
1358,J1745-0952,16.371,9.895,0.019376,9.25E-20,51.609431,64.47,ELL1,4.9435,2.3786,He,2.38,2.38,3320000000,502000000000000000000000000000000,23.884
1359,J1745+1017,34.869,19.254,0.002652,2.73E-21,377.05547,23.97,ELL1,0.7302,0.0882,UL,1.36,1.36,15400000000,5780000000000000000000000000000000,7.81
1391,J1748-2446ad,3.839,1.687,0.001396,0,716.355562,235.6,ELL1,1.0944,1.1028,*,5.5,4.37,*,*,*1391,J1748-2446ad,3.839,1.687,0.001396,0,716.355562,235.6,ELL1,1.0944,1.1028,*,5.5,4.37,*,*,*
1467,J1755-3716,353.882,-6.041,0.012786,3.11E-20,78.210119,167.6,ELL1,11.5156,10.6451,CO,6.38,6.38,6520000000,587000000000000000000000000000000,*
1478,J1757-5322,339.637,-13.98,0.00887,2.63E-20,112.740064,30.82,ELL1,0.4533,2.0865,CO,1.36,1.36,5340000000,1490000000000000000000000000000000,*
1514,J1801-3210,358.922,-4.577,0.007454,-4.44E-23,134.163639,177.71,ELL1,20.7717,7.8093,He,5.08,5.08,*,*,13.601
1520,J1802-2124,8.382,0.611,0.012648,7.26E-20,79.066424,149.63,ELL1,0.6989,3.7189,CO,3.33,3.33,2760000000,1420000000000000000000000000000000,4.875
1578,J1810-2005,10.545,-0.563,0.032822,1.47E-19,30.467142,241,ELL1,15.012,11.9779,He(?),4.05,4.05,3530000000,165000000000000000000000000000000,17
1587,J1811-2405,7.073,-2.559,0.002661,1.34E-20,375.856014,60.6,ELL1,6.2723,5.7057,He,1.7,1.7,3150000000,28000000000000000000000000000000000,*
1603,J1813-2621,5.322,-4.112,0.00443,1.25E-20,225.733042,112.52,ELL1,8.1598,5.5926,He,3.37,3.37,5630000000,5660000000000000000000000000000000,23.18
1617,J1816+4510,72.83,24.735,0.003193,4.31E-20,313.174936,38.89,ELL1,0.3609,0.5954,He,4.2,4.2,1170000000,52300000000000000000000000000000000,6.09
1756,B1831-00,30.812,3.732,0.520954,1.05E-17,1.919554,88.65,ELL1,1.8111,0.7227,UL,2.64,2.64,784000000,2940000000000000000000000000000,*
1835,J1841+0130,33.116,2.942,0.029773,8.17E-18,33.587732,125.88,ELL1,10.4716,3.5041,He,3.19,3.19,57700000,12200000000000000000000000000000000,*
1874,J1844+0115,33.283,2.079,0.004186,1.07E-20,238.917573,148.22,ELL1,50.6459,14.1735,He,3.45,3.45,6190000000,5770000000000000000000000000000000,*
1933,J1850+0124,34.025,0.959,0.00356,1.09E-20,280.917517,118.89,ELL1,84.9499,34.001,He,2.97,2.97,5180000000,9540000000000000000000000000000000,*
1934,J1850+0242,35.265,1.403,0.00448,1.63E-19,223.22106,540.07,ELL1,0.7354,0.4524,UL,13.1,13.1,437000000,71400000000000000000000000000000000,*
1989,B1855+09,42.29,3.06,0.005362,1.78E-20,186.494078,13.3,ELL1,12.3272,9.2308,He,0.7,0.7,4760000000,4570000000000000000000000000000000,6.06
2003,J1900+0308,36.798,-0.658,0.004909,5.9E-21,203.697558,249.9,ELL1,12.476,6.7164,He,5.27,5.27,13200000000,1970000000000000000000000000000000,*
2014,J1901+0300,36.811,-0.974,0.007797,4.57E-20,128.258137,253.89,ELL1,2.3992,1.8426,He,5.5,5.5,2700000000,3810000000000000000000000000000000,*2014,J1901+0300,36.811,-0.974,0.007797,4.57E-20,128.258137,253.89,ELL1,2.3992,1.8426,He,5.5,5.5,2700000000,3810000000000000000000000000000000,*
2036,J1902-5105,345.65,-22.379,0.001742,9.2E-21,573.921045,36.25,ELL1,2.0118,1.902,He,2.1,2.1,3000000000,68700000000000000000000000000000000,6.512
2047,J1903-7051,324.391,-26.508,0.003598,1.04E-20,277.940062,19.66,ELL1,11.0508,9.9389,He,1.13,1.13,5460000000,8840000000000000000000000000000000,18.26
2058,J1905+0154A,36.208,-2.201,0.003193,*,313.190897,193.69,ELL1,0.8126,0.5886,He(?),14.45,4.8,*,*,*
2121,B1908+00A,36.111,-3.918,0.003619,-6.58E-21,276.355755,202.68,ELL1,0.141,0.0377,UL,9.5,7.12,*,*,*
2125,J1911-1114,25.137,-9.579,0.003626,1.42E-20,275.805343,30.98,ELL1,2.7166,1.7629,He,1.59,1.59,4060000000,11700000000000000000000000000000000,23.77
2171,J1918-0642,30.027,-9.123,0.007646,2.57E-20,130.789514,26.55,ELL1,10.9132,8.3505,He,0.91,1.4,4710000000,2270000000000000000000000000000000,9.299
2248,J1933-6211,334.431,-28.632,0.003543,3.7E-21,282.212318,11.5,ELL1,12.8194,12.2816,CO(?),0.63,0.63,15200000000,3280000000000000000000000000000000,*
2253,J1935+1726,53.368,-1.374,0.0042,*,238.089468,61.6,ELL1,90.7639,31.9742,He,3.11,3.11,*,*,*
2286,J1943+2210,58.439,-0.73,0.005084,8.79E-21,196.688796,174.09,ELL1,8.3115,8.0641,CO,8.35,8.35,9170000000,2640000000000000000000000000000000,*2286,J1943+2210,58.439,-0.73,0.005084,8.79E-21,196.688796,174.09,ELL1,8.3115,8.0641,CO,8.35,8.35,9170000000,2640000000000000000000000000000000,*
2318,J1952+2630,63.254,-0.376,0.020732,4.27E-18,48.233774,315.34,ELL1,0.3919,2.7982,CO,13.67,13.67,76900000,18900000000000000000000000000000000,6
2367,J2017+0603,48.621,-16.026,0.002896,8.3E-21,345.278137,23.92,ELL1,2.1985,2.1929,He,1.32,1.32,5530000000,13500000000000000000000000000000000,2.354
2443,J2129-5721,338.005,-43.57,0.003726,2.09E-20,268.359227,31.85,ELL1,6.6255,3.5006,He,3.2,2.55,2830000000,15900000000000000000000000000000000,13.317
2450,J2140-2310A,27.179,-46.837,0.011019,-5.18E-20,90.749627,25.06,ELL1,0.174,0.2349,*,9.2,2.42,*,*,*2450,J2140-2310A,27.179,-46.837,0.011019,-5.18E-20,90.749627,25.06,ELL1,0.174,0.2349,*,9.2,2.42,*,*,*
2455,J2145-0750,47.777,-42.084,0.016052,2.98E-20,62.295888,9,ELL1,6.8389,10.1641,CO,0.53,0.5,8540000000,284000000000000000000000000000000,13.084
2473,J2214+3000,86.855,-21.665,0.003119,1.4E-20,320.592293,22.56,ELL1,0.4166,0.0591,UL,1,1.32,3530000000,18200000000000000000000000000000000,20.072
2475,J2215+5135,99.868,-4.159,0.00261,3.34E-20,383.197594,69.2,ELL1,0.1725,0.4681,MS,3.26,3.26,1240000000,74100000000000000000000000000000000,188.743
2506,J2302+4442,103.395,-14.005,0.005192,1.33E-20,192.591964,13.76,ELL1,125.9353,51.4299,He(?),0.75,0.75,6190000000,3750000000000000000000000000000000,3.606
2530,J2339-0533,81.349,-62.476,0.002884,1.41E-20,346.713379,*,ELL1,16683.7019,0.6117,MS(?),1.1,*,3240000000,23200000000000000000000000000000000,31.016
541,J1227-6208,300.082,0.591,0.034528,1.87E-19,28.962141,363,ELL1H,6.721,23.2007,CO,15.82,15.82,2920000000,180000000000000000000000000000000,*
2400,J2043+1711,61.919,-15.313,0.00238,5.24E-21,420.189437,20.71,ELL1H,1.4823,1.624,He,1.25,1.13,7200000000,15300000000000000000000000000000000,12.366
584,B1259-63,304.184,-0.992,0.047763,2.28E-15,20.936924,146.72,MSS,1236.7245,1296.2745,MS,2.3,4.6,332000,826000000000000000000000000000000000,7.932
1038,J1638-4725,337.364,-0.296,0.763933,4.79E-15,1.309014,552.1,MSS,1940.9,2382,MS,6.87,6.87,2530000,424000000000000000000000000000000,*
1328,J1740-3052,357.811,-0.132,0.570313,2.55E-14,1.753422,738.78,MSS,231.0296,756.9079,MS,10.84,10.84,354000,5430000000000000000000000000000000,*
133,J0437-4715,253.394,-41.963,0.005757,5.73E-20,173.687946,2.64,T2,5.741,3.3667,He,0.16,0.14,1590000000,11900000000000000000000000000000000,140.911
2104,J1909-3744,359.731,-19.596,0.002947,1.4E-20,339.315687,10.39,T2,1.5334,1.898,He,1.14,0.55,3330000000,21600000000000000000000000000000000,37.04
